City,Country,Continent,Population (2024),Population (2023),Growth Rate,Population Change
Montreal,Canada,North America,0.09876535401527167,0.09818108495520707,0.2800718132854578,33680
Rome,Italy,Europe,0.0984996039735901,0.09839259435737999,0.20825852782764814,16303
Jaipur,India,Asia,0.09785436815218942,0.09541487214115414,0.5727109515260324,101426
Recife,Brazil,South America,0.09776133913821915,0.09697400329244975,0.31418312387791747,41187
Nanning,China,Asia,0.09738559321835813,0.09499821534657159,0.5673249551166967,99573
Fortaleza,Brazil,South America,0.0961463796547884,0.09539172758839465,0.3105924596050269,40159
Kozhikode,India,Asia,0.09607936466600756,0.0921645158686074,0.822262118491921,155407
Porto Alegre,Brazil,South America,0.09596675638572134,0.09554784362969769,0.2585278276481149,27934
Taiyuan Shanxi,China,Asia,0.09560693236922681,0.09371265061509666,0.49371633752244165,81772
Douala,Cameroon,Africa,0.0949559217642217,0.09146921949986705,0.7576301615798923,139908
Ekurhuleni,South Africa,Africa,0.09461834441408895,0.09298093722495278,0.4560143626570916,72505
Malappuram,India,Asia,0.09445579800510925,0.08998530814503979,0.9281867145421904,175834
Medellin,Colombia,South America,0.09314863448779416,0.09254165690427238,0.29443447037701975,35078
Changzhou,China,Asia,0.09172187795192845,0.08923313760281228,0.6086175942549372,103844
Antananarivo,Madagascar,Africa,0.09070892590977385,0.08623328546469436,0.9587073608617595,176402
Lucknow,India,Asia,0.09042150668009094,0.08823910099975693,0.5619389587073609,92805
Nanchang,China,Asia,0.0898116620324945,0.08755271692917636,0.5780969479353681,95658
Wenzhou,China,Asia,0.08963275373663561,0.08753475522057746,0.5511669658886895,89807
Xiamen,China,Asia,0.08957602336246456,0.08796693312518593,0.4685816876122083,71984
Ibadan,Nigeria,Africa,0.08948934661045915,0.08630579043803095,0.7396768402154399,129408
Fuzhou Fujian,China,Asia,0.08933639734185062,0.08760270806623861,0.4901256732495512,76552
Salvador,Brazil,South America,0.08923267122872738,0.08859490736475026,0.3052064631956912,36598
Casablanca,Morocco,Africa,0.08800693216023463,0.08679744764943484,0.4057450628366248,57571
Tangshan Hebei,China,Asia,0.08731390312976497,0.08465479405955018,0.6606822262118492,110504
Kumasi,Ghana,Africa,0.08671648801640282,0.08338066449217561,0.784560143626571,135242
Curitiba,Brazil,South America,0.08531343559228477,0.08461036968103078,0.3249551166965889,39377
Bekasi,Indonesia,Asia,0.0847144805366281,0.08231426002806305,0.6283662477558348,101327
Faisalabad,Pakistan,Asia,0.08387617445005292,0.08180678005961863,0.5727109515260324,89348
Guiyang,China,Asia,0.08006077492261172,0.078243478720613,0.5439856373429084,80542
Port Harcourt,Nigeria,Africa,0.07937607807991416,0.07547921290092728,0.947935368043088,156446
Thrissur,India,Asia,0.07851511284243402,0.07554379278451566,0.7737881508078994,122782
Santo Domingo,Dominican Republic,Unknown,0.07802464122163183,0.07668001482128896,0.4631956912028725,63512
