Population (2023),Population Change,City_Delhi,City_Shanghai,City_Tokyo,Population (2024)
1.0,0.0,0.0,0.0,1.0,1.0
0.8833778893396409,0.02566563902674246,1.0,0.0,0.0,0.9090435283663834
0.7810783902711269,0.019633360057808913,0.0,1.0,0.0,0.8007117503289358
0.616510967446693,0.02106958081621224,0.0,0.0,0.0,0.6375805482629052
0.6003350091744568,0.006200632418713603,0.0,0.0,0.0,0.6065356415931704
0.5883641473985523,0.013143857592730734,0.0,0.0,0.0,0.601508004991283
0.5910581568862833,0.007189597774730161,0.0,0.0,0.0,0.5982477546610134
0.5769293397901151,0.01262233323481754,0.0,0.0,0.0,0.5895516730249326
0.5640490945324449,0.011314952638297515,0.0,0.0,0.0,0.5753640471707424
0.5014413517033075,-0.00048099144040747444,0.0,0.0,0.0,0.5009603602629
0.4555709870855589,0.01256836306264264,0.0,0.0,0.0,0.4681393501482015
0.4527060534303518,0.01198580590394932,0.0,0.0,0.0,0.4646918593343011
0.4274583079949841,0.020287778839777004,0.0,0.0,0.0,0.4477460868347611
0.4173223650091218,0.01677587324464519,0.0,0.0,0.0,0.434098238253767
0.4146310154996108,0.0060293563046067145,0.0,0.0,0.0,0.4206603718042175
0.4048315186248932,0.004030090308466017,0.0,0.0,0.0,0.4088616089333592
0.4005091362847793,0.007046216597259791,0.0,0.0,0.0,0.4075553528820391
0.3822538977181884,0.00800919564804542,0.0,0.0,0.0,0.3902630933662338
0.3717583366459659,0.008829051793120768,0.0,0.0,0.0,0.3805873884390867
0.3705048561878662,0.00680402260517321,0.0,0.0,0.0,0.3773088787930394
0.3633955022346011,0.012158969800445507,0.0,0.0,0.0,0.3755544720350466
0.3532055918555745,0.01138196113734602,0.0,0.0,0.0,0.3645875529929205
0.356494092764245,0.0030359872448318947,0.0,0.0,0.0,0.3595300800090769
0.3385299984116913,0.006907079697399288,0.0,0.0,0.0,0.3454370781090906
0.3277737046289983,0.0011763662894692106,0.0,0.0,0.0,0.3289500709184675
0.3029771682826171,0.007861861301846795,0.0,0.0,0.0,0.3108390295844639
0.2956228221085543,0.004340750006489591,0.0,0.0,0.0,0.2999635721150439
0.2885170879194648,0.0053360206699236135,0.0,0.0,0.0,0.2938531085893884
0.2872979677985778,0.004518402112500708,0.0,0.0,0.0,0.2918163699110785
0.2874092481245234,0.0020631921194594893,0.0,0.0,0.0,0.2894724402439829
0.2836123897288204,0.0046822146516168894,0.0,0.0,0.0,0.2882946043804373
0.2762407125626439,0.007516781834647324,0.0,0.0,0.0,0.2837574943972912
0.2539431297753464,0.000554443564336593,0.0,0.0,0.0,0.254497573339683
0.2460019978904453,0.006920104486073386,0.0,0.0,0.0,0.2529221023765187
0.2447764334924274,0.004861246959591808,0.0,0.0,0.0,0.2496376804520192
0.2446211675472565,0.0028144779205186987,0.0,0.0,0.0,0.2474356454677752
0.2348649707303675,0.009903247192586395,0.0,0.0,0.0,0.2447682179229539
0.2405536220895999,0.0032514444250451024,0.0,0.0,0.0,0.243805066514645
0.2356473333965146,0.006828130441666691,0.0,0.0,0.0,0.2424754638381813
0.24246077162842,-0.0002816641850237056,0.0,0.0,0.0,0.2421791074433963
0.2209573431632965,0.006288668860517904,0.0,0.0,0.0,0.2272460120238144
0.217267130698496,0.005595738072653983,0.0,0.0,0.0,0.22286286877115
0.2191221227262396,0.0036419147483660874,0.0,0.0,0.0,0.2227640374746057
0.2164751427503363,0.0053203810168993,0.0,0.0,0.0,0.2217955237672356
0.2059307148617425,0.0049810467472705955,0.0,0.0,0.0,0.2109117616090131
0.2014560556241482,0.007552309809878088,0.0,0.0,0.0,0.2090083654340263
0.2012070048798808,0.007248713763202297,0.0,0.0,0.0,0.2084557186430831
0.191509217894008,0.005688587611225204,0.0,0.0,0.0,0.1971978055052332
0.1906772754276367,0.004024806098613276,0.0,0.0,0.0,0.19470208152625
0.1907173944805835,0.003714482170918687,0.0,0.0,0.0,0.1944318766515022
0.1907824131234659,0.0010455311038940207,0.0,0.0,0.0,0.1918279442273599
0.1883852791430504,0.0028672766455528076,0.0,0.0,0.0,0.1912525557886032
0.1881018132166584,0.0023315757681728055,0.0,0.0,0.0,0.1904333889848312
0.1765658715909499,0.004812161720696789,0.0,0.0,0.0,0.1813780333116467
0.1693542592997226,0.0011645409345356073,0.0,0.0,0.0,0.1705188002342582
0.1666235037211175,0.003539349851351986,0.0,0.0,0.0,0.1701628535724695
0.1651855524023387,0.0007213681505807978,0.0,0.0,0.0,0.1659069205529195
0.1540238998768841,0.005251066691931094,0.0,0.0,0.0,0.1592749665688152
0.1547810338836252,0.0014514466947462834,0.0,0.0,0.0,0.1562324805783715
0.1500111170636122,0.0032768013548648,0.0,0.0,0.0,0.153287918418477
0.1513787572055245,0.0012507808841094037,0.0,0.0,0.0,0.1526295380896339
0.1467198464868982,0.0036294220501364993,0.0,0.0,0.0,0.1503492685370347
0.1467983844005275,0.000848175413759783,0.0,0.0,0.0,0.1476465598142873
0.1442115144479047,0.0030333954172103994,0.0,0.0,0.0,0.1472449098651151
0.1407219246702943,0.004056052636950996,0.0,0.0,0.0,0.1447779773072453
0.139261925696991,0.0034759305586903877,0.0,0.0,0.0,0.1427378562556814
0.1359799787552749,0.004723118747903904,0.0,0.0,0.0,0.1407030975031788
0.1360075657458864,0.0004390487583516012,0.0,0.0,0.0,0.136446614504238
0.1338928830609954,0.0024921612504316126,0.0,0.0,0.0,0.136385044311427
0.1297891125391263,0.006429563006554284,0.0,0.0,0.0,0.1362186755456806
